"","Label","Type","Reference Model","02. Fix M","03. Fix M_k_t0_CV","04. Fix M_t0_CV","05. Fix M_CV","08. Fix growth","09. Fix Linf_CV","10. Fix k_CV","11. Fix CV","12. 5GTG","13. No recdevs","14. recdevs_sR45","15. recdevs_sR75","17. Dome-shaped_sel","18. Lorenzen M"
"89",NA,"Main_RecrDev_1989",-0.126843,-0.117067,-0.182678,-0.180842,-0.200257,0.0490711,-0.197864,-0.174225,-0.187274,-0.221096,NA,-0.126843,-0.126843,-0.210416,-0.111139
"90",NA,"Main_RecrDev_1990",-0.172443,-0.161571,-0.26554,-0.242053,-0.26515,-0.0929278,-0.266941,-0.260044,-0.255254,-0.270707,NA,-0.172443,-0.172443,-0.258097,-0.157567
"91",NA,"Main_RecrDev_1991",-0.0526304,-0.0384573,-0.115528,-0.0869463,-0.124767,0.00984542,-0.109809,-0.111056,-0.116897,-0.179227,NA,-0.0526304,-0.0526304,-0.165675,-0.0335275
"92",NA,"Main_RecrDev_1992",0.000379796,0.016781,0.0660646,-0.00940338,-0.0348998,0.299538,0.0043921,0.0723981,-0.0263159,-0.181014,NA,0.000379796,0.000379796,-0.15871,0.0198948
"93",NA,"Main_RecrDev_1993",-0.192544,-0.183577,-0.167984,-0.215296,-0.225902,0.016937,-0.2109,-0.162372,-0.215638,-0.3345,NA,-0.192544,-0.192544,-0.313946,-0.178165
"94",NA,"Main_RecrDev_1994",-0.00779846,-0.00561614,-0.107732,-0.109699,-0.13134,0.0465671,-0.119933,-0.102426,-0.118603,-0.118896,NA,-0.00779846,-0.00779846,-0.101284,0.00690739
"95",NA,"Main_RecrDev_1995",0.218651,0.213503,0.0416186,0.0811289,0.0422511,0.202619,0.0546722,0.0470091,0.0581374,0.149108,NA,0.218651,0.218651,0.168376,0.23803
"96",NA,"Main_RecrDev_1996",0.315937,0.305008,0.288433,0.218625,0.213459,0.523762,0.238917,0.296938,0.237686,0.227272,NA,0.315937,0.315937,0.228914,0.331666
"97",NA,"Main_RecrDev_1997",-0.142281,-0.151729,-0.134488,-0.215925,-0.226339,0.00944453,-0.18949,-0.129584,-0.21055,-0.218672,NA,-0.142281,-0.142281,-0.212932,-0.131476
"98",NA,"Main_RecrDev_1998",-0.0485646,-0.0630023,-0.095964,-0.169269,-0.178385,0.00476483,-0.143083,-0.0915641,-0.163708,-0.126369,NA,-0.0485646,-0.0485646,-0.125915,-0.0384714
"99",NA,"Main_RecrDev_1999",0.520806,0.513963,0.522647,0.546423,0.520088,0.410272,0.562088,0.525998,0.532085,0.372744,NA,0.520806,0.520806,0.372639,0.525332
